Amy start,
Banbury School,5508
Barrow-in-Furness Sixth Form College,5950
Bicester Community College,5509
Bishop Ramsey CofE Voluntary Aided Secondary School,7281
Bsix Sixth Form College ,6259
Burlington Danes Academy,6138
Caldew School,7199
Canons High School,7157
Castle Manor Business and Enterprise College,5638
Chiltern Hills Academy,7214
Clacton Coastal Academy,6466
Clacton County High School,4950
Cockermouth School,4752
Didcot Girls' School,5527
Didcot Sixth Form College,8802
Durham Gilesgate Sixth Form,10012
Durham Gilesgate Sports College,9980
Farmor's School,7084
Forest School,4617
Framingham Earl High School,5343
Freman College,7025
Friern Barnet School,3976
Furness Academy,6458
Globe Academy,9474
Haringey Sixth Form Centre,6277
Harwich and Dovercourt High School,7536
Haydon School,6720
Holloway School,3914
John Colet School,7203
Ken Stimpson Community School,4660
Kesgrave High School,7001
Kingsbury High School,7395
Lord Grey School,4653
Maltings Academy,6397
Nower Hill High School,7038
Oasis Academy Enfield,6290
Park House School,6868
Park View,6140
Philip Morant School and College,7366
Plashet School,4067
Plume School,7451
Preston Manor School,3994
Reading Girls' School,4634
Reepham High School and College,5341
Richard Rose Morton Academy,6386
Rickmansworth School,6785
Shenfield High School,7492
Shenley Brook End School,6865
Simon Balle School,5076
Sir Harry Smith Community College,4657
Solway Community Technology College,4749
St Alban's Academy,6475
St Angela's and St Bonaventure's 6th Form,7849
St Benedict's Catholic School,5679
St Peter's RC High School and Sixth Form College,8132
Stoke Newington School and Sixth Form,3904
Teesdale School,7122
The Barclay School,8085
The Campion School,7045
The Denes High School,5661
The Downs School,4636
The Gilberd School,7522
The John Warner School,6786
The Knights Templar School,6787
The Piggott School,6956
Tring School,5092
Trinity School,7262
Ulverston Victoria High School,4756
Washington School,4536
Fran start,
Alder Community High School,6289
Bedford High School,4357
Bolton Muslim Girls School,6320
Bonus Pastor Catholic College,3941
Bowland High,7021
Brine Leas School,6567
Christ The King Sixth Form College,5788
Cranford Community College,6723
Crawshaw School,4478
Darwen Aldridge Community Academy,6377
De Lacy Academy,4494
Deyes High School,7332
Droylsden Academy,6437
Ealing Hammersmith West London College,11067
Endeavour High School,6252
Esher College,6093
Failsworth School,4306
Fazakerley High School,4217
Featherstone High School,7413
Flixton Girls' School,6998
Great Sankey High School,4685
Hall Cross Academy,7474
Harris Academy Bromley,9300
Hemsworth Arts and Community College,4490
King Ecgbert School,4399
Laisterdyke Business and Enterprise College,4432
Lampton Academy,6612
Malton School,5388
Manchester Creative and Media Academy for Boys,6451
Manchester Creative and Media Academy for Girls,6449
Maria Fidelis Roman Catholic Convent School FCJ,3890
Maricourt Catholic High School,4249
Monks' Dyke Technology College,5329
Moor End Academy,7321
Notre Dame Catholic College,4226
Ormiston Bolingbroke Academy,6535
Otley Prince Henry's Grammar School Specialist Language College,7406
Paddington Academy,6108
Pensby High School for Boys: A Specialist Sports College,4257
Pensby High School for Girls,4258
Ringwood School,6830
Rosedale College,7067
Rydens Enterprise School and Sixth Form College,7114
Sale Grammar School,6711
Silverdale School,4398
Sir John Thursby Community College,6307
Sir Robert Pattinson Academy,7113
South Axholme Community School,7422
"South Craven School, the Technology and Engineering College",6870
South Molton Community College,4816
St Charles Catholic Sixth Form College,5783
St John Bosco Arts College,4231
St John Plessington Catholic College,4264
St Paul's Catholic College (Sunbury-on-Thames),5709
The Fallibroome Academy,6566
The Harefield Academy,6312
The Hollins Technology College,5213
The Holy Family Catholic School,4426
The St Marylebone CofE School,7253
Thomas Rotherham College,5873
Tupton Hall School,4771
Uxbridge High School,6883
West Derby School,4214
West Hatch High School,6878
Worden Sports College,5204
Yewlands Technology College,8215
Claire start,
La Retraite Roman Catholic Girls' School,3927
Sydenham School,3933
Prendergast-Hilly Fields College,3940
Ricards Lodge High School,4057
Waverley School,4107
Lordswood Boys' School,4109
Kings Heath Boys Mathematics and Computing College,4110
Dame Elizabeth Cadbury Technology College,4114
Selly Park Technology College For Girls,4117
Handsworth Wood Girls' School,4123
Castle Vale Performing Arts College,4124
Hamstead Hall Community Learning Centre,4132
Yardleys School,4135
Park View Business and Enterprise School,4138
Baverstock Foundation School and Specialist Sports College,4150
Small Heath School,4151
Great Barr School,4153
Bishop Challoner Catholic College,4155
Barr's Hill School and Community College,4158
Caludon Castle School,4161
Lyng Hall School,4163
President Kennedy School and Community College,4164
Cardinal Wiseman Catholic School and Language College,4168
Ellowes Hall Sports College,4183
Lyndon School Humanities College,4191
Aldridge School - A Science College,4200
"Wednesfield High School, A Specialist Engineering College",4205
Colton Hills Community School A Specialist Language College,4206
Charles Thorp Comprehensive School,4498
Walbottle Campus,4504
Heaton Manor School,4508
Churchill Community College,4518
Harton Technology College,4524
Thornhill School Business & Enterprise College,4532
Hetton School,4534
Egglescliffe School,4708
Northfield School and Sports College,4711
